issue,description_summary_category,description_summary
Art & Culture,Festival and Tradition,Soria Parv is a festival of the animals celebrated by the Munda Tribe.
Art & Culture,Tradition and Cultural Celebration,Pariha Jatra is a tradition of tribals where 12 villagers reach Jatara Sthalam with their traditional dress and dance.
Art & Culture,Cultural Practice,"People of Munda community use their own funeral yantra when someone dies and bury the dead, which can be a problem."
Art & Culture,Festival and Tradition,Sohari Parab Sarna is the main feast of the Adivasi Munda Community to remember the animals who help in the cultivation of the crop.
Art & Culture,Festival and Tradition,"The Santhal community in Sarikela district organize a feast every year to keep their village safe, which is done in the niche of a feather in the village."
Art & Culture,Cultural Belief and Practice,Cham (chamra thread) is worn on Diwali by Munda Adivasi society to stop continuous deaths after the death of an unborn child.
Art & Culture,Festival and Tradition,SARHUL is a feast of nature celebrated every year to welcome new leaves and flowers of the forest by tribal.
Art & Culture,Cultural Practice and Dependence,Turi community in Jamdih Rasa Toli village of Rampur panchayat in Kamdara block of Gumla district depend on bamboo for their life and livelihood.
Art & Culture,Festival and Tradition,Kohbar and Sohra are the birth anniversary of Jharkhand celebrated in Uttari Chotnagpur Khaskar in the remote area of Hazaribagh.
Art & Culture,Artistic Tradition,Kalawon's Jariye Vansh and Phasal Vridhi's picture is depicted in the artistry of the remote area of Hazaribagh.
Agrarian Crisis,Lockdown Impact,"Farmers in District-Khuti, Block-Torpa, Panchayat-Okda, Village-Sridkel are facing loss due to lockdown."
Agrarian Crisis,Food Security,"Farmers in Bada Sindri Panchayat, Village Dumara, and Sunder Pahadi block are migrating in search of food security."
Agrarian Crisis,Financial Assistance,Farmers in Gamahartoli village of Kansir Panchayat are facing harassment by bankers for loan repayment.
Agrarian Crisis,Marketing Issues,Farmers are forced to sell paddy at a lower price due to non-opening of government paddy purchase center.
Agrarian Crisis,Land Acquisition,Farmers' land is destroyed due to Gail India Limited Company's gas pipeline work.
Agrarian Crisis,Natural Disasters,"Crops of 200 farmers are ruined due to sudden rains, and government officials did not come to check."
Agrarian Crisis,Political Issues,"Farmer protests are taking place in Gola prakhand, supported by political parties."
Agrarian Crisis,Farming Issues,Farmers in Mahalidih village and Rupu Bagan block are losing profits due to farming issues.
Agrarian Crisis,Water Crisis,Farmers in Palamu district are facing a water crisis for drinking and irrigation purposes.
Rural Innovation,Infrastructure,Road not built causing difficulty in transportation in Sarheta Village
Rural Innovation,Infrastructure,People of Tola facing problems due to lack of obstacles in Khunti-District
Rural Innovation,Infrastructure,Street from Tikla Murmu's house to Deepnarayan Murmu's house is in a bumpy state
Rural Innovation,Water Supply,Drinking water supply issue in Jori village
Rural Innovation,Infrastructure,Villagers of Gadia and Amkudar village have no road to visit the block headquarters and market
Rural Innovation,Housing,Ganesh Bhuiyan's ruined house
Rural Innovation,Infrastructure,Unpaved road in Tona Tod Gram Chakrawar
Rural Innovation,Electricity,Piper Tola in darkness for the past 2 months
Rural Innovation,Housing,Poor families forced to live with goats in a room due to lack of Prime Minister Awas Yojna
Rural Innovation,Electricity,Village Mahuvapur in darkness due to lack of electricity
Conflict,Land rights,Shivlal Soren lost his eye during land protest
Conflict,Political imprisonment,Dharna held for release of Aparna Marandi
Conflict,Political imprisonment,Detention and torture of Maoist witch hunt victims
Conflict,Political imprisonment,Mahadeo Munda arrested for carrying Naxal literature
Conflict,Political imprisonment,False accusation of being a Maoist
Conflict,Environmental degradation,Coal mining pollutes river and life in Jharkhand
Conflict,Violence against marginalized communities,Saroj Upadhay attacked and paralyzed waste collector
Conflict,Human rights violations,Tribals in Jharkhand at the mercy of a violent state
Conflict,Military presence,Possible CRPF takeover in Jharkhand
Conflict,Lack of government services,Aadhar card center far from villages
